layer,from_token,to_token,attention_score
12,·mathematics,·is,0.0
12,·mathematics,·essential,0.0
12,·mathematics,·for,0.0
12,·mathematics,·programming,0.0
12,·mathematics,.,0.0
12,·is,Disc,0.725333
12,·is,rete,0.05749
12,·is,·mathematics,0.09639
12,·is,·is,0.120788
12,·is,·essential,0.0
12,·is,·for,0.0
12,·is,·programming,0.0
12,·is,.,0.0
12,·essential,Disc,0.670249
12,·essential,rete,0.040428
12,·essential,·mathematics,0.115599
12,·essential,·is,0.111358
12,·essential,·essential,0.062366
12,·essential,·for,0.0
12,·essential,·programming,0.0
12,·essential,.,0.0
12,·for,Disc,0.662288
12,·for,rete,0.039602
12,·for,·mathematics,0.079674
12,·for,·is,0.099725
12,·for,·essential,0.028575
12,·for,·for,0.090136
12,·for,·programming,0.0
12,·for,.,0.0
12,·programming,Disc,0.693874
12,·programming,rete,0.033474
12,·programming,·mathematics,0.056568
12,·programming,·is,0.044947
12,·programming,·essential,0.045271
12,·programming,·for,0.075817
12,·programming,·programming,0.050049
12,·programming,.,0.0
12,.,Disc,0.480779
12,.,rete,0.102627
12,.,·mathematics,0.094125
12,.,·is,0.049266
12,.,·essential,0.022148
12,.,·for,0.029904
12,.,·programming,0.047174
12,.,.,0.173978
